abbreviation,meaning,category,notes,source,source_url,source_record_id,observed_at
HA,Haakarmvoertuig,Hulpdiensten,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vRN4hv6KvjYXT1Zc5HQG_WmAj17d1qspXlgCkTVK6s48ZtVGw6yCfQZS2NaZaTtTWIFuBpmcRVg2P6q/pubhtml/sheet?headers=false&gid=28007122,Hulpdiensten:2:1:350,
HA-AH,Haakarmvoertuig-Arbeidshygiëne,Hulpdiensten,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vRN4hv6KvjYXT1Zc5HQG_WmAj17d1qspXlgCkTVK6s48ZtVGw6yCfQZS2NaZaTtTWIFuBpmcRVg2P6q/pubhtml/sheet?headers=false&gid=28007122,Hulpdiensten:2:1:351,
HA-BB,Haakarmvoertuig bedrijfsbrandweer,Hulpdiensten,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vRN4hv6KvjYXT1Zc5HQG_WmAj17d1qspXlgCkTVK6s48ZtVGw6yCfQZS2NaZaTtTWIFuBpmcRVg2P6q/pubhtml/sheet?headers=false&gid=28007122,Hulpdiensten:2:1:352,
HA-CBRN,"Haakarm Chemische, Biologische of Radiologische/Nucleaire stoffen",Hulpdiensten,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vRN4hv6KvjYXT1Zc5HQG_WmAj17d1qspXlgCkTVK6s48ZtVGw6yCfQZS2NaZaTtTWIFuBpmcRVg2P6q/pubhtml/sheet?headers=false&gid=28007122,Hulpdiensten:2:1:353,
HA-G,Haakarmvoertuig Groot,Hulpdiensten,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vRN4hv6KvjYXT1Zc5HQG_WmAj17d1qspXlgCkTVK6s48ZtVGw6yCfQZS2NaZaTtTWIFuBpmcRVg2P6q/pubhtml/sheet?headers=false&gid=28007122,Hulpdiensten:2:1:354,
HA-K,Haakarmvoertuig-Klein,Hulpdiensten,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vRN4hv6KvjYXT1Zc5HQG_WmAj17d1qspXlgCkTVK6s48ZtVGw6yCfQZS2NaZaTtTWIFuBpmcRVg2P6q/pubhtml/sheet?headers=false&gid=28007122,Hulpdiensten:2:1:355,
HA-KR,Haakarmvoertuig met Kraan,Hulpdiensten,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vRN4hv6KvjYXT1Zc5HQG_WmAj17d1qspXlgCkTVK6s48ZtVGw6yCfQZS2NaZaTtTWIFuBpmcRVg2P6q/pubhtml/sheet?headers=false&gid=28007122,Hulpdiensten:2:1:356,
HA-KR-HVH,Haakarmvoertuig met Kraan + Hulpverleningshaakarmbak,Hulpdiensten,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vRN4hv6KvjYXT1Zc5HQG_WmAj17d1qspXlgCkTVK6s48ZtVGw6yCfQZS2NaZaTtTWIFuBpmcRVg2P6q/pubhtml/sheet?headers=false&gid=28007122,Hulpdiensten:2:1:357,
HA-M,Haakarmbak -Middel groot voertuig (Tussen de 10 & 15 ton gewicht indeling gebaseerd op DIN30722),Hulpdiensten,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vRN4hv6KvjYXT1Zc5HQG_WmAj17d1qspXlgCkTVK6s48ZtVGw6yCfQZS2NaZaTtTWIFuBpmcRVg2P6q/pubhtml/sheet?headers=false&gid=28007122,Hulpdiensten:2:1:358,
HA-RES,Haakarmvoertuig-Reserve,Hulpdiensten,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vRN4hv6KvjYXT1Zc5HQG_WmAj17d1qspXlgCkTVK6s48ZtVGw6yCfQZS2NaZaTtTWIFuBpmcRVg2P6q/pubhtml/sheet?headers=false&gid=28007122,Hulpdiensten:2:1:359,
